Date,Price,High,Low,Close,,Volume
01-06-2023,1873.914673,1887.705322,1846.227417,1862.201416,,5640027197
02-06-2023,1862.423706,1910.278442,1851.964722,1907.256592,,6097746022
03-06-2023,1907.420776,1908.822266,1885.485474,1892.412476,,3472274607
04-06-2023,1892.398193,1912.205688,1885.651855,1890.51355,,3747042696
05-06-2023,1890.417603,1890.640503,1780.211548,1811.828369,,9246593033
06-06-2023,1810.581421,1896.222656,1801.405273,1884.494873,,8704411776
07-06-2023,1884.372925,1893.809082,1822.303101,1832.395996,,7919894455
08-06-2023,1832.51355,1861.136108,1830.165039,1846.30188,,4536041931
09-06-2023,1846.077881,1854.824951,1828.544556,1840.22522,,4610831509
10-06-2023,1840.391968,1844.785645,1721.443115,1752.384766,,10788500406
11-06-2023,1752.527588,1776.847168,1741.110474,1753.415283,,4559112981
12-06-2023,1753.075439,1757.65979,1722.906372,1742.528687,,6031384958
13-06-2023,1742.390137,1761.955444,1727.749878,1739.037598,,6214125203
14-06-2023,1739.250122,1749.163208,1637.187744,1650.519287,,7462905534
15-06-2023,1650.498169,1676.406616,1624.138306,1665.519775,,7328564880
16-06-2023,1665.410645,1727.289551,1653.170898,1716.668823,,6281023479
17-06-2023,1716.671753,1766.763184,1714.150879,1727.204102,,4875187477
18-06-2023,1727.193726,1746.509155,1718.11145,1720.577515,,3820038842
19-06-2023,1720.505371,1745.134644,1705.813477,1737.659424,,5210480121
20-06-2023,1736.879761,1793.313965,1715.342529,1792.119995,,7171072578
21-06-2023,1791.994995,1898.668945,1788.489258,1891.007202,,11731457711
22-06-2023,1889.794434,1932.065552,1867.876587,1872.942993,,8477657143
23-06-2023,1872.540771,1932.531616,1865.192017,1892.862061,,8290615074
24-06-2023,1893.771973,1905.227417,1867.811523,1876.059692,,5026191704
25-06-2023,1875.849121,1929.079102,1870.850098,1900.506104,,6937581709
26-06-2023,1900.050293,1905.360474,1840.215088,1859.432861,,8619702292
27-06-2023,1859.346191,1911.311157,1856.838379,1889.703369,,7686042202
28-06-2023,1889.906494,1890.208984,1822.102783,1827.971191,,7135265016
29-06-2023,1828.059326,1876.530273,1828.059326,1852.227295,,5677228612
30-06-2023,1852.008423,1945.274292,1831.281006,1933.188965,,12895131248
01-07-2023,1933.323853,1942.701538,1910.848633,1924.565918,,5136809625
02-07-2023,1924.44812,1958.160767,1895.906982,1937.438354,,6343966490
03-07-2023,1937.883789,1974.775024,1934.688843,1955.38916,,7858509087
04-07-2023,1955.52417,1966.365356,1932.611328,1936.633545,,5683423776
05-07-2023,1936.796753,1942.432495,1897.124756,1910.588013,,6034088075
06-07-2023,1910.417114,1956.012329,1847.850708,1848.636475,,8905008384
07-07-2023,1847.512573,1876.963257,1832.025391,1870.602539,,6468885150
08-07-2023,1871.002075,1872.501587,1844.641724,1865.539551,,4299007854
09-07-2023,1865.594971,1878.668945,1857.748291,1863.009766,,4392863807
10-07-2023,1863.240234,1905.460815,1848.777222,1880.556396,,6336468234
11-07-2023,1880.654907,1889.381714,1863.218628,1878.33606,,4905225892
12-07-2023,1878.322021,1901.148438,1865.710083,1872.11377,,6379007000
13-07-2023,1872.040283,2011.885254,1864.496094,2006.511475,,11114853969
14-07-2023,2005.686157,2026.204956,1901.361206,1939.347046,,10627449471
15-07-2023,1939.129639,1946.019165,1928.187378,1931.466553,,4380084234
16-07-2023,1931.64502,1942.030884,1917.294067,1923.681885,,4329306566
